,Open,High,Low,Close,Volume,Number of trades
t-60,0.07745601,0.02358807,0.7160886,0.055548232,0.039366394,0.08793745
t-59,0.077442825,0.023582917,0.7160776,0.05556973,0.039377432,0.087934464
t-58,0.07743911,0.02357861,0.7160677,0.055579375,0.039384298,0.08793616
t-57,0.07742958,0.023573285,0.7160558,0.05559747,0.039394267,0.087935224
t-56,0.07742922,0.023567991,0.7160415,0.055606566,0.039401155,0.08793891
t-55,0.07741458,0.023560133,0.7160241,0.055632588,0.039417114,0.08793733
t-54,0.077403806,0.023554197,0.71601415,0.055649884,0.039427884,0.08793616
t-53,0.07740448,0.023551412,0.7160101,0.055651832,0.039429683,0.08793846
t-52,0.07741716,0.023551082,0.716004,0.05564209,0.039425932,0.08794542
t-51,0.077422634,0.023549266,0.715998,0.05564067,0.039425895,0.08794942
t-50,0.07741728,0.023545897,0.7159962,0.055648915,0.03942933,0.0879486
t-49,0.07741042,0.023541072,0.7159928,0.055659655,0.039434694,0.08794779
t-48,0.07741686,0.023538945,0.7159903,0.05565525,0.039433137,0.08795199
t-47,0.0774328,0.023538211,0.715982,0.055643857,0.039428826,0.08796046
t-46,0.07744807,0.02353898,0.71598035,0.055628844,0.039421912,0.08796773
t-45,0.077451944,0.023538137,0.7159772,0.055627417,0.03942109,0.08797027
t-44,0.07745612,0.023536159,0.71597433,0.055625707,0.039420437,0.08797341
t-43,0.07745652,0.023532651,0.71596587,0.055631686,0.039423604,0.08797571
t-42,0.07746163,0.023530317,0.7159579,0.05563193,0.039424084,0.08797982
t-41,0.07748016,0.02353026,0.71594733,0.05561939,0.039418947,0.08798909
t-40,0.07749049,0.023530407,0.7159484,0.055607934,0.039413568,0.08799399
t-39,0.07751153,0.023533393,0.71594733,0.05558555,0.039403275,0.08800316
t-38,0.077522844,0.02353397,0.71594524,0.055574737,0.039398346,0.088008665
t-37,0.07752384,0.023530897,0.71594334,0.055575218,0.03939922,0.088010505
t-36,0.07751629,0.0235254,0.7159404,0.055586282,0.03940493,0.08800949
t-35,0.07751117,0.023522347,0.71593726,0.05559411,0.039408963,0.08800856
t-34,0.077509,0.023521068,0.7159408,0.055595044,0.039408647,0.08800772
t-33,0.07750927,0.023519585,0.7159431,0.055593636,0.039407678,0.08800862
t-32,0.07750639,0.02351728,0.71594435,0.055595968,0.039408784,0.08800881
t-31,0.077512875,0.023516826,0.7159431,0.055589806,0.039406132,0.088012375
t-30,0.0775217,0.02351688,0.7159435,0.055580355,0.039402127,0.08801654
t-29,0.07754108,0.0235184,0.71593666,0.05556412,0.03939497,0.088025
t-28,0.07754469,0.023518683,0.7159375,0.05555979,0.03939274,0.08802613
t-27,0.07755985,0.02352141,0.71593976,0.055542454,0.03938375,0.08803146
t-26,0.077575356,0.023524,0.7159409,0.055525135,0.039375156,0.08803753
t-25,0.07759869,0.023529438,0.7159438,0.05549788,0.039361555,0.08804657
t-24,0.07763822,0.023538055,0.71594876,0.055452045,0.039338246,0.08806179
t-23,0.07766923,0.023543995,0.7159474,0.0554197,0.039321974,0.08807415
t-22,0.07767608,0.023545632,0.7159478,0.055411793,0.039318018,0.08807686
t-21,0.07767468,0.02354545,0.7159479,0.055412762,0.03931849,0.08807655
t-20,0.077678554,0.023546867,0.7159489,0.05540755,0.039315768,0.08807807
t-19,0.07767336,0.023546206,0.7159496,0.055412177,0.039318036,0.08807615
t-18,0.077685736,0.023550432,0.71594995,0.055397585,0.03931097,0.088080704
t-17,0.077689104,0.023553466,0.7159518,0.05539153,0.039307617,0.08808148
t-16,0.07767797,0.023554036,0.7159541,0.055401716,0.039311223,0.088075936
t-15,0.07767535,0.023553513,0.71594924,0.055406965,0.039314143,0.08807544
t-14,0.077678405,0.023553893,0.71594954,0.05540333,0.039312623,0.088076934
t-13,0.07768078,0.023554353,0.71594447,0.055403456,0.03931304,0.08807839
t-12,0.07768286,0.023555404,0.7159459,0.055399682,0.039311185,0.08807919
t-11,0.07769043,0.023557892,0.7159471,0.05538994,0.0393068,0.08808216
t-10,0.07769219,0.023558961,0.71594644,0.055387672,0.03930584,0.08808293
t-9,0.07768902,0.023558443,0.7159419,0.05539333,0.039309014,0.088082306
t-8,0.077682585,0.023556544,0.7159407,0.05540081,0.03931282,0.08808039
t-7,0.0776771,0.023555607,0.71594214,0.055405453,0.039315138,0.08807844
t-6,0.07768448,0.023558497,0.7159421,0.055396486,0.039310746,0.08808139
t-5,0.07768782,0.023560476,0.71594524,0.055390194,0.039307397,0.08808254
t-4,0.077706754,0.023564683,0.7159455,0.055368625,0.03929736,0.08809032
t-3,0.077721514,0.02356701,0.71594244,0.055353485,0.039291266,0.088097356
t-2,0.07772778,0.023567542,0.71594036,0.055347588,0.039289173,0.088100545
t-1,0.07773627,0.023568863,0.71593827,0.0553393,0.039285704,0.0881041
